"Path","ProcessName","Id"
"C:\Users\sbarrick\AppData\Local\Programs\Git\usr\bin\bash.exe","bash","5664"
"C:\Windows\system32\conhost.exe","conhost","5780"
"C:\Windows\system32\conhost.exe","conhost","5888"
,"csrss","404"
,"csrss","508"
,"ctfmon","4804"
"C:\Windows\system32\DllHost.exe","dllhost","1248"
,"dllhost","2784"
,"dwm","1020"
"C:\Windows\Explorer.EXE","explorer","5036"
,"fontdrvhost","804"
,"fontdrvhost","864"
"C:\Users\sbarrick\AppData\Local\Programs\Git\git-bash.exe","git-bash","5056"
,"GoogleCrashHandler","876"
,"GoogleCrashHandler64","1640"
,"Idle","0"
,"lsass","652"
,"Memory Compression","1496"
"C:\Users\sbarrick\AppData\Local\Programs\Git\usr\bin\mintty.exe","mintty","5296"
,"msdtc","3232"
,"MsMpEng","2620"
,"NisSrv","3660"
"C:\Windows\system32\WindowsPowerShell\v1.0\PowerShell_ISE.exe","powershell_ise","848"
,"Registry","88"
"C:\Windows\System32\RuntimeBroker.exe","RuntimeBroker","2292"
"C:\Windows\System32\RuntimeBroker.exe","RuntimeBroker","2464"
"C:\Windows\System32\RuntimeBroker.exe","RuntimeBroker","5324"
"C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe","SearchUI","1852"
,"SecurityHealthService","3168"
"C:\Windows\System32\SecurityHealthSystray.exe","SecurityHealthSystray","5804"
,"services","644"
,"SgrmBroker","4384"
"C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe","ShellExperienceHost","952"
"C:\Windows\system32\sihost.exe","sihost","4356"
,"smss","308"
,"spoolsv","996"
,"svchost","708"
,"svchost","720"
,"svchost","764"
,"svchost","784"
,"svchost","904"
,"svchost","956"
"C:\Windows\system32\svchost.exe","svchost","1096"
,"svchost","1136"
,"svchost","1200"
,"svchost","1240"
,"svchost","1288"
,"svchost","1312"
,"svchost","1320"
,"svchost","1332"
,"svchost","1428"
,"svchost","1456"
,"svchost","1464"
,"svchost","1576"
,"svchost","1604"
,"svchost","1648"
,"svchost","1700"
,"svchost","1792"
,"svchost","1808"
,"svchost","1824"
,"svchost","1832"
,"svchost","1896"
,"svchost","1932"
,"svchost","2092"
,"svchost","2280"
,"svchost","2404"
,"svchost","2412"
,"svchost","2424"
,"svchost","2472"
"C:\Windows\system32\svchost.exe","svchost","2532"
,"svchost","2708"
,"svchost","2928"
,"svchost","3036"
,"svchost","3592"
,"svchost","3728"
,"svchost","3856"
,"svchost","4196"
"C:\Windows\system32\svchost.exe","svchost","4364"
"C:\Windows\system32\svchost.exe","svchost","4392"
,"svchost","4564"
,"svchost","4688"
,"svchost","4728"
,"svchost","4996"
,"System","4"
"C:\Windows\system32\taskhostw.exe","taskhostw","4452"
,"VGAuthService","2600"
,"vm3dservice","2556"
,"vm3dservice","2884"
,"vm3dservice","3500"
,"vmtoolsd","2512"
"C:\Program Files\VMware\VMware Tools\vmtoolsd.exe","vmtoolsd","5860"
"C:\Windows\SystemApps\InputApp_cw5n1h2txyewy\WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe","WindowsInternal.ComposableShell.Experiences.TextInput.InputApp","2608"
,"wininit","556"
,"winlogon","568"
,"WmiPrvSE","3432"
